Country,Customer Request,Subject,Case ID,Description
UK,"Please find attached PO reference: 4501784854 Please find transmitted herewith a copy of our purchase order Please confirm receipt of PO by return Schneider Electric Phone: +44(0)870 608 8 608 Fax: +44(0)8706088606 Site: http://www.schneider-electric.com/ Address: Stafford Park 5, Telford, Shropshire. TF3 3BL Disclaimer: Schneider Electric Limited is a company registered in England and Wales. Registered number: 1407228 Registered office: Stafford Park 5, Telford, Shropshire TF3 3BL This message (and any associated files) is intended only for the use of intended recipient and may contain information that is confidential, subject to copyright or constitutes a trade secret. If you are not the intended recipient you are hereby notified that any dissemination , copying or distribution of this message, or files associated with this message, is strictly prohibited. If you have received this message in error, please notify us immediately by replying to the message and deleting it from your computer. Any views or opinions presented are solely those of the author and do not necessarily represent those of the company. *** Please consider the environment before printing this e-mail *** Schneider Electric Terms and Conditions of Sale of Goods (Inclusive of erection) United Kingdom can be viewed by going to the Schneider Electric Public Web Site at https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.schneider-electric.co.uk%2F&data=02%7C01%7Cgb-myaccount%40schneider-electric.com%7Cdeca0a30025340866d4308d7ed9c15cb%7C6e51e1adc54b4b39b5980ffe9ae68fef%7C0%7C0%7C637239127689372533&sdata=NVu2YDx3S%2Bb8DQneXrDLtrKa4xR46ncAhnSV60RuV6k%3D&reserved=0 or the 'My Schneider Electric' web portal. These Terms and Conditions apply to all transactions, whether product or otherwise, and are binding unless otherwise agreed in writing at the point of order acceptance.",Schneider Electric Purchase Order 4501784854,5001H0000162Uvn,Nothing
UK,"Please find attached your report... --------------------------------------------------------------------------------------------------------------- This message and any attachment are confidential and may be privileged or otherwise protected from disclosure. If you are not the intended recipient, please telephone or email the sender and delete this message and any attachment from your system. If you are not the intended recipient you must not copy this message or attachment or disclose the contents to any other person. Please consider the environmental impact before printing this document and its attachment(s). Print black and white and double-sided where possible. ------------------------------------------------------------------------------ ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",Collection - Schneider report attached.,5001H0000162V09,Nothing
UK,Hi   Please process this order   Regards Kerri   From: MarkCalladine <markcalladine@raygar.co.uk> Sent: 30 April 2020 15:20 To: Kerri Pawsey <kerri.pawsey@se.com> Subject: Purchase Order:59503/JOEL01   [External email: Use caution with links and attachments]   Please find attached a purchase order ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________,FW: Purchase Order:59503/JOEL01,5001H0000162V0Y,Nothing
UK,"a:visited{color:inherit;text-decoration:none;} [External email: Use caution with links and attachments]   Regards Graham Hunt Senior Regional Buyer/Agathos Admin t : 01273 426844 ext 30123 e : graham.hunt@kewelectrical.co.uk KEW Brighton, Unit 2, Chapel Road, Southwick, East Sussex, BN41 1PF t : 01273 426951     f : 01273 422174     w : www.kewelectrical.co.uk @kewelec @kewelectrical KEW (Electrical Distributors) Limited Registered in England number 3156034 Registered office: Unit 2, Chapel Road, Portslade, BN41 1PF VAT no. GB 673 7607 06 The information in this email is confidential and may be legally privileged. It is intended solely for the addressee. Access to this email by anyone else is unauthorised. If you are not the intended recipient, any disclosure, copying, distribution or any action taken or omitted to be taken in reliance on it is prohibited and may be unlawful. The contents of an attachment to this email may contain software viruses that could damage your own computer systems. Whilst KEW (Electrical Distributors) Limited has taken every precaution to minimise the risk, we cannot accept liability for any damage that you sustain as a result of software viruses. ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",5491379 order RU048101,5001H0000162V1i,Nothing
UK,"[External email: Use caution with links and attachments]   Purchase Schedule Lines report attached. _____________________________________________________________ J. C. Bamford Excavators Ltd. Registered Office: Rocester, Staffordshire, England. ST14 5JP Registered No. 561597 England _______________________________________________________________   The contents of this Email communication are confidential to the addressee. If you are not the intended recipient you may not disclose or distribute this communication in any form but should immediately contact the Sender. The information, images, documents and views expressed in this Email are personal to the Sender and do not expressly or implicitly represent official positions and policies of the J C B group of companies (""JCB"") and no authority exists on behalf of JCB to make any agreements, representations or other binding commitment by means of Email. ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",JCB Purchase Schedule Lines Report,5001H0000162V3F,Nothing
UK,"Ladies                 Could you please pass to Technical.   Technical  -  Can you advise Part code and trade price of requirement below please.   Many Thanks   Neil Page   Neil Page Sales Engineer Home & Distribution Europe Operations Schneider Electric D   08706088608 M   07884475288 E  neil.page@se.com Helios Court 1 Bishops Square Hatfield AL10 9NE United Kingdom     From: Jason Miller <jason.miller@eel.co.uk> Sent: 30 April 2020 10:17 To: Neil Page <Neil.Page@se.com> Subject: FW:   [External email: Use caution with links and attachments]   HI Mate C an you get a price for a replacement door and cover for a kq125b48 board     Kind Regards   Jason Miller Service Manager   Edmundson Electrical Ltd Cambridge Tel: 01223 243221 Mob: 07984 361876 Fax: 01223 210489 Jason.miller@eel.co.uk Edmundson Electrical Ltd PO Box 1, Tatton Street Knutsford, Cheshire, WA16 6AY Registered in London  Registered No 2667012 This message is intended only for the individual or entity to which it is addressed and may contain information that is private and confidential. If you are not the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication and its attachments is  strictly prohibited. If you have received this communication and its attachments in error, please advise  us.     From: jason.miller [ mailto:jason.miller@eel.co.uk ] Sent: 30 April 2020 08:48 To: jason.miller@eel.co.uk Subject:           Sent from my Samsung Galaxy smartphone.   For company registration details and disclaimer, see: www.edmundson-electrical.co.uk/disclaimer ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",Technical request,5001H0000162V4M,Nothing
UK,"P {margin-top:0;margin-bottom:0;} [External email: Use caution with links and attachments]   new order attached above but need urgently  as previous order ( 3DX6430034 ) is lost which was ordered in march   alan.barton@rexel.co.uk Kind regards Alan Barton Internal Sales 01482 586555 07960269313   www.rexel.co.uk                                                                                                       FREE inhouse Lighting Design service Available, please ask for further information   Every catalogue at your fingertips! – Click on the link below       ________________________________________ From: Alan.Barton@rexel.co.uk <Alan.Barton@rexel.co.uk> Sent: 01 May 2020 08:11 To: Barton, Alan Subject:  Purchase Order 3DX 6440951 Rexel UK Limited Registered Office; Ground Floor Eagle Court 2,Hatchford Brook, Hatchford Way, Sheldon, Birmingham. B26 3RZ. Registered No. 434724 England Tel. +44(0)121 366 1000 https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.rexel.co.uk%2F&amp;data=02%7C01%7CAlan.Barton%40rexel.co.uk%7Cbe86015195df412b707808d7ed9ee057%7Cf91cd4eb0e4b4bcc982e32c194cfcefa%7C0%7C0%7C637239138934842715&amp;sdata=ycvhEQvj%2B5XuTF5y6VW0PxyVRN2IzTQnUl%2Br85r0Ba4%3D&amp;reserved=0 This email and its attachments are for the intended recipient only and may contain information that is confidential. If you are not the intended recipient then you should not read, copy, disclose, or otherwise use this message. If received in error please advise the sender by return e-mail or telephone and delete this communication from your system. Although we have taken steps to ensure that this e-mail and attachments are free from virus we advise that, in accordance with good computing practice, the recipient should ensure that they are actually virus free. This e-mail and its attachments are for the intended recipient only and may contain information that is confidential. If you are not the intended recipient then you should not read, copy, disclose, or otherwise use this message. If received in error please advise the sender by return e-mail or telephone and delete this communication from your system. Although we have taken steps to ensure that this e-mail and attachments are free from viruses we advise that, in accordance with good computing practice, the recipient should ensure that they are actually virus free. Our terms and conditions of sale apply to the sale of goods by us to the exclusion of all other terms. Our terms and conditions of purchase apply to the purchase of goods by us to the exclusion of all other terms. Our current terms applicable in the UK are available via our website at http://www.rexel.co.uk/terms.php or, for the UK or anywhere else, from your usual contact. Rexel UK Limited Registered Number: 00434724 Registered Office: Eagle Court 2, Hatchford Way, Hatchford Brook, Sheldon, Birmingham, United Kingdom, B26 3RZ. M. Kelliher 1998 Ltd Registered in Ireland No. 273572 Registered Office: Ballymullen, Tralee, Co. Kerry, Ireland ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",Fw: Purchase Order 3DX 6440951,5001H0000162V5A,Nothing
UK,"[External email: Use caution with links and attachments]   morning, Unfortunately despite all efforts order 16021 was delivered even though it was agreed for it to be cancelled . Can you therefore please arrange its collection ? Regards Peter Botting Inventory NDC  Planner BSS Trade Merchanting - Travis Perkins plc   Buccaneer Way, Magna Park,Lutterworth LE17 4YZ T:01455 551011 F:01455 556079 E:Peter.Botting@bssgroup.com All forecasts are given in good faith but without liability or obligation on the part of any Travis Perkins Group company. All orders placed by any Travis Perkins Group company shall be subject to the Travis Perkins Group Purchase Terms (copy available on request).  On Tue, 31 Mar 2020 at 11:59, orderentry uk < orderentry.uk@schneider-electric.com > wrote: Good afternoon Peter Thank you for your time earlier. Please see below two open orders that I will try to cancel as per your request. I will let you know the outcome when Sweden replies.   Kind regards Irena Frajt-Hrynkiewicz Customer Care Advisor Telford CCC Global Operations Schneider Electric T +44 (0)870 608 8608 E orderentry.uk@schneider-electric.com W www.schneider-electric.com Stafford Park 5 Telford, Shropshire TF3 3BL United Kingdom --------------- Original Message --------------- From: [ peter.botting@bssgroup.com ] Sent: 30/03/2020 14:08 To: orderentry.uk@schneider-electric.com Subject: cancellation email [External email: Use caution with links and attachments]   I hope you are safe and well.   Due to COVID-19 and Government guidelines, BSS is currently operating a limited service and reduced network to keep our colleagues, customers and suppliers safe and well,  whilst continuing to supply the trades who provide essential maintenance and services to keep critical infrastructure maintained, secure and operational during the current crisis.   As a result, to help us manage the deliveries we receive, we have reviewed our current order book. Please see the attached current order book which details the lines we need to cancel. Please can you confirm to myself that orders requested have been cancelled.   New orders will be placed as required to allow us to manage deliveries received and ensure our stock levels continue to serve the demands of our customers.   If you have any concerns, please refer to your BSS commercial contact.   Best regards, Peter Botting Inventory NDC  Planner BSS Trade Merchanting - Travis Perkins plc   Buccaneer Way, Magna Park,Lutterworth LE17 4YZ T:01455 551011 F:01455 556079 E:Peter.Botting@bssgroup.com         All forecasts are given in good faith but without liability or obligation on the part of any Travis Perkins Group company. All orders placed by any Travis Perkins Group company shall be subject to the Travis Perkins Group Purchase Terms (copy available on request).          This e-mail and any attachments are confidential and intended solely for the use of the addressee only. If you have received this message in error, you must not copy, distribute or disclose the contents; please notify the sender immediately and delete the message.   This message is attributed to the sender and may not necessarily reflect the view of The BSS Group Limited, 60987, Lodge Way House, Lodge Way, Harlestone Road, Northampton, NN5 7UG or its parent company Travis Perkins plc (Registered in England No. 824821; Lodge Way House, Lodge Way, Harlestone Road, Northampton, NN5 7UG; VAT number 408556737) and any of its subsidiaries. Agreements binding The BSS Group Limited may not be concluded by means of e-mail communication. E-mail transmissions are not secure and The BSS Group accepts no responsibility for changes made to this message after it was sent. Whilst steps have been taken to ensure that this message is virus free, The BSS Group accepts no liability for infection and recommends that you scan this e-mail and any attachments. ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________ Following attachments are linked to this email: 1. SS0668 Schneider.xls ref:_00DA0abSm._5001H15RwQG:ref This e-mail and any attachments are confidential and intended solely for the use of the addressee only. If you have received this message in error, you must not copy, distribute or disclose the contents; please notify the sender immediately and delete the message. This message is attributed to the sender and may not necessarily reflect the view of The BSS Group Limited, 60987, Lodge Way House, Lodge Way, Harlestone Road, Northampton, NN5 7UG or its parent company Travis Perkins plc (Registered in England No. 824821; Lodge Way House, Lodge Way, Harlestone Road, Northampton, NN5 7UG; VAT number 408556737) and any of its subsidiaries. Agreements binding The BSS Group Limited may not be concluded by means of e-mail communication. E-mail transmissions are not secure and The BSS Group accepts no responsibility for changes made to this message after it was sent. Whilst steps have been taken to ensure that this message is virus free, The BSS Group accepts no liability for infection and recommends that you scan this e-mail and any attachments. ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________","Ref. 5467388 PO 0000623952 and PO 0000624392/ UK 0005471821 - 2x orders to be credited, please, see my e-mail to Sweden IFH",5001H0000162V7Z,Nothing
UK,[External email: Use caution with links and attachments]   Please see attached your supplier Schedule The report is accessible at the following address: https://selfservicebi.cummins.com/sites/EBU-HHP-IT/_vti_bin/ReportServer?https%3a%2f%2fselfservicebi.cummins.com%2fsites%2fEBU-HHP-IT%2fReports%2fPROD%2fDAV%2fPlanningPurchasing%2fSSBI+PP015+DAV+Supplier+Schedule.rdl&P_days_history=6&P_VENDOR_SITE_ID=41363&rs%3AParameterLanguage=en-US ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________,Cummins Daventry Supplier Schedule (Schneider Electric LVE),5001H0000162V7k,Nothing
UK,"Please cancel the ZB4BG6 from the attached order.   Our customer no longer requires from us as he’s sourced from elsewhere.   Thanks   Scott Pope Commercial Manager     0208 607 5840   HEATHROW Find Us On Facebook www.facebook.com/edsheathrow   From: gb-customerservices@schneider-electric.com [mailto:gb-customerservices@schneider-electric.com] Sent: Friday, April 24, 2020 3:53 PM To: heathrow.437@eel.co.uk; scott.pope@eel.co.uk; lee.hicks@eel.co.uk; christian.woolhouse@eel.co.uk Subject: Your Schneider Electric order has been processed 2301334583 / 437-101016SX     For company registration details and disclaimer, see: www.edmundson-electrical.co.uk/disclaimer ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",FW: Your Schneider Electric order has been processed 2301334583 / 437-101016SX,5001H0000162V9Q,Nothing
